Entry,Entry name,Status,Protein names,Gene names,Organism,Length
A0A075B7A0,A0A075B7A0_HUMAN,unreviewed,60S ribosomal protein L18,RPL18,Homo sapiens (Human),138
F8VUA6,F8VUA6_HUMAN,unreviewed,60S ribosomal protein L18 (Fragment),RPL18,Homo sapiens (Human),130
F8VXR6,F8VXR6_HUMAN,unreviewed,60S ribosomal protein L18,RPL18,Homo sapiens (Human),84
F8VYV2,F8VYV2_HUMAN,unreviewed,60S ribosomal protein L18,RPL18,Homo sapiens (Human),133
G3V203,G3V203_HUMAN,unreviewed,"60S ribosomal protein L18 (Ribosomal protein L18, isoform CRA_b)",RPL18 hCG_2000370,Homo sapiens (Human),164
H0YHA7,H0YHA7_HUMAN,unreviewed,60S ribosomal protein L18 (Fragment),RPL18,Homo sapiens (Human),167
J3QQ67,J3QQ67_HUMAN,unreviewed,60S ribosomal protein L18 (Fragment),RPL18,Homo sapiens (Human),190
Q07020,RL18_HUMAN,reviewed,60S ribosomal protein L18 (Large ribosomal subunit protein eL18),RPL18,Homo sapiens (Human),188
A0A0G2JIC2,A0A0G2JIC2_HUMAN,unreviewed,ATP-binding cassette sub-family F member 1,ABCF1,Homo sapiens (Human),238
Q5STZ8,Q5STZ8_HUMAN,unreviewed,ATP-binding cassette sub-family F member 1 (Fragment),ABCF1,Homo sapiens (Human),339
Q8NE71,ABCF1_HUMAN,reviewed,ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein),ABCF1 ABC50,Homo sapiens (Human),845
Q9HC16,ABC3G_HUMAN,reviewed,DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.-) (APOBEC-related cytidine deaminase) (APOBEC-related protein) (ARCD) (APOBEC-related protein 9) (ARP-9) (CEM-15) (CEM15) (Deoxycytidine deaminase) (A3G),APOBEC3G MDS019,Homo sapiens (Human),384
J3KRR8,J3KRR8_HUMAN,unreviewed,U3 small nucleolar RNA-associated protein 6 homolog (Fragment),UTP6,Homo sapiens (Human),61
J3QSA7,J3QSA7_HUMAN,unreviewed,U3 small nucleolar RNA-associated protein 6 homolog (Fragment),UTP6,Homo sapiens (Human),29
Q9NYH9,UTP6_HUMAN,reviewed,U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein),UTP6 C17orf40 HCA66 MHAT,Homo sapiens (Human),597
A6NDE4,RBY1B_HUMAN,reviewed,"RNA-binding motif protein, Y chromosome, family 1 member B",RBMY1B,Homo sapiens (Human),496
O60870,KIN17_HUMAN,reviewed,"DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein homolog)",KIN BTCD KIN17,Homo sapiens (Human),393
S4R357,S4R357_HUMAN,unreviewed,DNA/RNA-binding protein KIN17 (Fragment),KIN,Homo sapiens (Human),108
C9JUF0,C9JUF0_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II (Fragment),EIF4A2,Homo sapiens (Human),57
E7EMV8,E7EMV8_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II (Fragment),EIF4A2,Homo sapiens (Human),98
E7EQG2,E7EQG2_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II,EIF4A2,Homo sapiens (Human),362
E9PBH4,E9PBH4_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II,EIF4A2,Homo sapiens (Human),96
F8WE11,F8WE11_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II,EIF4A2,Homo sapiens (Human),97
J3KSN7,J3KSN7_HUMAN,unreviewed,Eukaryotic initiation factor 4A-II (Fragment),EIF4A2,Homo sapiens (Human),109
Q14240,IF4A2_HUMAN,reviewed,Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2),EIF4A2 DDX2B EIF4F,Homo sapiens (Human),407
D6R9T8,D6R9T8_HUMAN,unreviewed,Probable ATP-dependent RNA helicase YTHDC2 (Fragment),YTHDC2,Homo sapiens (Human),137
D6RA70,D6RA70_HUMAN,unreviewed,Probable ATP-dependent RNA helicase YTHDC2,YTHDC2,Homo sapiens (Human),739
D6RF50,D6RF50_HUMAN,unreviewed,Probable ATP-dependent RNA helicase YTHDC2,YTHDC2,Homo sapiens (Human),98
Q9H6S0,YTDC2_HUMAN,reviewed,Probable ATP-dependent RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2),YTHDC2,Homo sapiens (Human),1430
A0A1B0GU57,A0A1B0GU57_HUMAN,unreviewed,Putative ATP-dependent RNA helicase TDRD12 (Fragment),TDRD12,Homo sapiens (Human),350
A0A1W2PRK2,A0A1W2PRK2_HUMAN,unreviewed,Putative ATP-dependent RNA helicase TDRD12 (Fragment),TDRD12,Homo sapiens (Human),167
H3BU70,H3BU70_HUMAN,unreviewed,Putative ATP-dependent RNA helicase TDRD12 (Fragment),TDRD12,Homo sapiens (Human),112
Q587J7,TDR12_HUMAN,reviewed,Putative ATP-dependent RNA helicase TDRD12 (EC 3.6.4.13) (ES cell-associated transcript 8 protein) (Tudor domain-containing protein 12),TDRD12 ECAT8,Homo sapiens (Human),1177
O43395,PRPF3_HUMAN,reviewed,U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein),PRPF3 HPRP3 PRP3,Homo sapiens (Human),683
A0A0C4DGK8,A0A0C4DGK8_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),146
G3V2D9,G3V2D9_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase,APEX1,Homo sapiens (Human),49
G3V359,G3V359_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),172
G3V3C7,G3V3C7_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),174
G3V3M6,G3V3M6_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),263
G3V3Y6,G3V3Y6_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (Fragment),APEX1,Homo sapiens (Human),41
G3V574,G3V574_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase,APEX1,Homo sapiens (Human),14
G3V5D9,G3V5D9_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (Fragment),APEX1,Homo sapiens (Human),107
G3V5M0,G3V5M0_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),162
G3V5Q1,G3V5Q1_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),242
H7C4A8,H7C4A8_HUMAN,unreviewed,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment),APEX1,Homo sapiens (Human),150
P27695,APEX1_HUMAN,reviewed,"DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens (Human),318
A0A087WZT0,A0A087WZT0_HUMAN,unreviewed,Protein Smaug homolog 2,SAMD4B,Homo sapiens (Human),663
M0QX45,M0QX45_HUMAN,unreviewed,Protein Smaug homolog 2 (Fragment),SAMD4B,Homo sapiens (Human),94
M0QXV2,M0QXV2_HUMAN,unreviewed,Protein Smaug homolog 2 (Fragment),SAMD4B,Homo sapiens (Human),75
M0QY61,M0QY61_HUMAN,unreviewed,Protein Smaug homolog 2 (Fragment),SAMD4B,Homo sapiens (Human),219
M0QZ22,M0QZ22_HUMAN,unreviewed,Protein Smaug homolog 2,SAMD4B,Homo sapiens (Human),692
M0QZW7,M0QZW7_HUMAN,unreviewed,Protein Smaug homolog 2 (Fragment),SAMD4B,Homo sapiens (Human),48
M0R0X3,M0R0X3_HUMAN,unreviewed,Protein Smaug homolog 2,SAMD4B,Homo sapiens (Human),325
Q5PRF9,SMAG2_HUMAN,reviewed,Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B),SAMD4B SMAUG2,Homo sapiens (Human),694
C9JG32,C9JG32_HUMAN,unreviewed,"Elongation factor Ts, mitochondrial (Fragment)",TSFM,Homo sapiens (Human),140
C9JT21,C9JT21_HUMAN,unreviewed,"Elongation factor Ts, mitochondrial (Fragment)",TSFM,Homo sapiens (Human),168
F8VPA7,F8VPA7_HUMAN,unreviewed,"Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)",TSFM,Homo sapiens (Human),200
F8VS27,F8VS27_HUMAN,unreviewed,"Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)",TSFM,Homo sapiens (Human),230
F8WCK2,F8WCK2_HUMAN,unreviewed,"Elongation factor Ts, mitochondrial",TSFM,Homo sapiens (Human),89
P43897,EFTS_HUMAN,reviewed,"Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)",TSFM,Homo sapiens (Human),325
Q9HD15,SRA1_HUMAN,reviewed,Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP),SRA1 PP7684,Homo sapiens (Human),236
R4GMW4,R4GMW4_HUMAN,unreviewed,Steroid receptor RNA activator 1 (Fragment),SRA1,Homo sapiens (Human),75
Q8NC51,PAIRB_HUMAN,reviewed,Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1),SERBP1 PAIRBP1 CGI-55,Homo sapiens (Human),408
H0Y5Y3,H0Y5Y3_HUMAN,unreviewed,Putative nucleotidyltransferase FAM46A (Fragment),FAM46A,Homo sapiens (Human),88
H0Y6D7,H0Y6D7_HUMAN,unreviewed,Putative nucleotidyltransferase FAM46A (Fragment),FAM46A,Homo sapiens (Human),86
Q5TF85,Q5TF85_HUMAN,unreviewed,"Family with sequence similarity 46, member A, isoform CRA_a (Putative nucleotidyltransferase FAM46A)",FAM46A hCG_401094,Homo sapiens (Human),523
Q96IP4,FA46A_HUMAN,reviewed,Putative nucleotidyltransferase FAM46A (EC 2.7.7.-) (HBV X-transactivated gene 11 protein) (HBV XAg-transactivated protein 11),FAM46A C6orf37 XTP11,Homo sapiens (Human),442
Q9UGR2,Z3H7B_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN),ZC3H7B KIAA1031,Homo sapiens (Human),993
A0A087WTC9,A0A087WTC9_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),148
G3V240,G3V240_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),94
G3V256,G3V256_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14,ZC3H14,Homo sapiens (Human),605
G3V2X4,G3V2X4_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14,ZC3H14,Homo sapiens (Human),64
G3V3R9,G3V3R9_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),209
G3V3Y4,G3V3Y4_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),215
G3V411,G3V411_HUMAN,unreviewed,"Nuclear protein UKp68, isoform CRA_g (Zinc finger CCCH domain-containing protein 14)",ZC3H14 FLJ11806 hCG_21080,Homo sapiens (Human),438
G3V473,G3V473_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),72
G3V4R5,G3V4R5_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),206
G3V572,G3V572_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),132
G3V5I6,G3V5I6_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14,ZC3H14,Homo sapiens (Human),420
H0YJ51,H0YJ51_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),151
H0YJ87,H0YJ87_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),81
H0YJA2,H0YJA2_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 14 (Fragment),ZC3H14,Homo sapiens (Human),651
Q6PJT7,ZC3HE_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37),ZC3H14,Homo sapiens (Human),736
F8WB26,F8WB26_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 15,ZC3H15,Homo sapiens (Human),105
F8WF67,F8WF67_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 15,ZC3H15,Homo sapiens (Human),74
H7C466,H7C466_HUMAN,unreviewed,Zinc finger CCCH domain-containing protein 15 (Fragment),ZC3H15,Homo sapiens (Human),71
Q8WU90,ZC3HF_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4),ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730,Homo sapiens (Human),426
F2Z2Z2,F2Z2Z2_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DHX35,DHX35,Homo sapiens (Human),126
Q5THQ7,Q5THQ7_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DHX35 (Fragment),DHX35,Homo sapiens (Human),167
Q5THR1,Q5THR1_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DHX35,DHX35,Homo sapiens (Human),679
Q9H5Z1,DHX35_HUMAN,reviewed,Probable ATP-dependent RNA helicase DHX35 (EC 3.6.4.13) (DEAH box protein 35),DHX35 C20orf15 DDX35,Homo sapiens (Human),703
E5RG01,E5RG01_HUMAN,unreviewed,rRNA-processing protein UTP23 homolog,UTP23,Homo sapiens (Human),67
E5RGP0,E5RGP0_HUMAN,unreviewed,rRNA-processing protein UTP23 homolog (Fragment),UTP23,Homo sapiens (Human),155
E5RH13,E5RH13_HUMAN,unreviewed,rRNA-processing protein UTP23 homolog,UTP23,Homo sapiens (Human),69
E5RIC4,E5RIC4_HUMAN,unreviewed,rRNA-processing protein UTP23 homolog,UTP23,Homo sapiens (Human),80
E5RIM0,E5RIM0_HUMAN,unreviewed,rRNA-processing protein UTP23 homolog,UTP23,Homo sapiens (Human),64
G3XAM4,G3XAM4_HUMAN,unreviewed,"Chromosome 8 open reading frame 53, isoform CRA_c (rRNA-processing protein UTP23 homolog)",UTP23 C8orf53 hCG_1640093,Homo sapiens (Human),105
Q9BRU9,UTP23_HUMAN,reviewed,rRNA-processing protein UTP23 homolog,UTP23 C8orf53,Homo sapiens (Human),249
C9J185,C9J185_HUMAN,unreviewed,Eukaryotic translation initiation factor 2-alpha kinase 3 (Fragment),EIF2AK3,Homo sapiens (Human),956
E7ER02,E7ER02_HUMAN,unreviewed,Eukaryotic translation initiation factor 2-alpha kinase 3,EIF2AK3,Homo sapiens (Human),965
Q9NZJ5,E2AK3_HUMAN,reviewed,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK),EIF2AK3 PEK PERK,Homo sapiens (Human),1116
E5RJW7,E5RJW7_HUMAN,unreviewed,Trimethylguanosine synthase,TGS1,Homo sapiens (Human),53
Q96RS0,TGS1_HUMAN,reviewed,Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT),TGS1 HCA137 NCOA6IP PIMT,Homo sapiens (Human),853
I3L1A3,I3L1A3_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1 (Fragment),RSL1D1,Homo sapiens (Human),93
I3L1Y4,I3L1Y4_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1,RSL1D1,Homo sapiens (Human),47
I3L234,I3L234_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1 (Fragment),RSL1D1,Homo sapiens (Human),98
I3L2F2,I3L2F2_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1,RSL1D1,Homo sapiens (Human),43
I3L3C4,I3L3C4_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1 (Fragment),RSL1D1,Homo sapiens (Human),158
I3L3U9,I3L3U9_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1 (Fragment),RSL1D1,Homo sapiens (Human),296
I3L4T8,I3L4T8_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1,RSL1D1,Homo sapiens (Human),46
J3KPU7,J3KPU7_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1,RSL1D1,Homo sapiens (Human),39
J3QSV6,J3QSV6_HUMAN,unreviewed,Ribosomal L1 domain-containing protein 1 (Fragment),RSL1D1,Homo sapiens (Human),430
O76021,RL1D1_HUMAN,reviewed,Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1),RSL1D1 CATX11 CSIG PBK1 L12,Homo sapiens (Human),490
E9PML1,E9PML1_HUMAN,unreviewed,Thyroid hormone receptor-associated protein 3 (Fragment),THRAP3,Homo sapiens (Human),40
Q9Y2W1,TR150_HUMAN,reviewed,Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150),THRAP3 BCLAF2 TRAP150,Homo sapiens (Human),955
C9J7Z4,C9J7Z4_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen2 (Fragment),TSEN2,Homo sapiens (Human),378
H7C2Z3,H7C2Z3_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen2 (Fragment),TSEN2,Homo sapiens (Human),101
H7C301,H7C301_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen2 (Fragment),TSEN2,Homo sapiens (Human),81
Q8NCE0,SEN2_HUMAN,reviewed,tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2),TSEN2 SEN2,Homo sapiens (Human),465
A0A0C4DFZ9,A0A0C4DFZ9_HUMAN,unreviewed,PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3),PAN3,Homo sapiens (Human),687
Q58A45,PAN3_HUMAN,reviewed,PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3),PAN3,Homo sapiens (Human),887
A8K979,ERI2_HUMAN,reviewed,ERI1 exoribonuclease 2 (EC 3.1.-.-) (Exonuclease domain-containing protein 1),ERI2 EXOD1 KIAA1504,Homo sapiens (Human),691
H3BN77,H3BN77_HUMAN,unreviewed,ERI1 exoribonuclease 2,ERI2,Homo sapiens (Human),156
A0A024R4E5,A0A024R4E5_HUMAN,unreviewed,"High density lipoprotein binding protein (Vigilin), isoform CRA_a (Vigilin)",HDLBP hCG_33048,Homo sapiens (Human),1268
C9J5E5,C9J5E5_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),221
C9J739,C9J739_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),19
C9JB08,C9JB08_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),14
C9JBS3,C9JBS3_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),69
C9JE93,C9JE93_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),36
C9JEJ8,C9JEJ8_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),79
C9JES8,C9JES8_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),147
C9JHN6,C9JHN6_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),81
C9JHS7,C9JHS7_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),126
C9JHS9,C9JHS9_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),17
C9JHZ8,C9JHZ8_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),141
C9JIZ1,C9JIZ1_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),224
C9JK79,C9JK79_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),128
C9JMQ6,C9JMQ6_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),46
C9JQ82,C9JQ82_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),53
C9JT62,C9JT62_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),96
C9JZI8,C9JZI8_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),164
H0Y394,H0Y394_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),973
H7BZC3,H7BZC3_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),267
H7C0A4,H7C0A4_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),332
H7C2D1,H7C2D1_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),308
H7C3D0,H7C3D0_HUMAN,unreviewed,Vigilin (Fragment),HDLBP,Homo sapiens (Human),126
Q00341,VIGLN_HUMAN,reviewed,Vigilin (High density lipoprotein-binding protein) (HDL-binding protein),HDLBP HBP VGL,Homo sapiens (Human),1268
O43818,U3IP2_HUMAN,reviewed,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),RRP9 RNU3IP2 U355K,Homo sapiens (Human),475
A6NDW0,A6NDW0_HUMAN,unreviewed,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2,ZRSR2,Homo sapiens (Human),147
Q15696,U2AFM_HUMAN,reviewed,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (Renal carcinoma antigen NY-REN-20) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein) (URP)",ZRSR2 U2AF1-RS2 U2AF1L2 U2AF1RS2 URP,Homo sapiens (Human),482
A9C4B9,A9C4B9_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen34 (Fragment),TSEN34,Homo sapiens (Human),251
B0V3J0,B0V3J0_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen34 (Fragment),TSEN34,Homo sapiens (Human),242
E7EQB3,E7EQB3_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16),TSEN34,Homo sapiens (Human),315
Q9BSV6,SEN34_HUMAN,reviewed,tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34),TSEN34 LENG5 SEN34,Homo sapiens (Human),310
E9PPN1,E9PPN1_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen15,TSEN15,Homo sapiens (Human),134
F2Z3M0,F2Z3M0_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen15,TSEN15,Homo sapiens (Human),119
H0YCV5,H0YCV5_HUMAN,unreviewed,tRNA-splicing endonuclease subunit Sen15 (Fragment),TSEN15,Homo sapiens (Human),136
Q8WW01,SEN15_HUMAN,reviewed,tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15),TSEN15 C1orf19 SEN15,Homo sapiens (Human),171
Q96NC0,ZMAT2_HUMAN,reviewed,Zinc finger matrin-type protein 2,ZMAT2,Homo sapiens (Human),199
R4GMX9,R4GMX9_HUMAN,unreviewed,Zinc finger matrin-type protein 2 (Fragment),ZMAT2,Homo sapiens (Human),53
R4GNG8,R4GNG8_HUMAN,unreviewed,Zinc finger matrin-type protein 2 (Fragment),ZMAT2,Homo sapiens (Human),129
A0A1B0GTK2,A0A1B0GTK2_HUMAN,unreviewed,Protein lin-28 homolog B (Fragment),LIN28B,Homo sapiens (Human),209
A0A1B0GVD3,A0A1B0GVD3_HUMAN,unreviewed,Protein lin-28 homolog B,LIN28B,Homo sapiens (Human),258
Q6ZN17,LN28B_HUMAN,reviewed,Protein lin-28 homolog B (Lin-28B),LIN28B CSDD2,Homo sapiens (Human),250
C9IZV9,C9IZV9_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),74
C9J0A4,C9J0A4_HUMAN,unreviewed,Poly(rC)-binding protein 4,PCBP4,Homo sapiens (Human),323
C9J5V4,C9J5V4_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),106
C9J7A9,C9J7A9_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),86
C9JSA6,C9JSA6_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),91
C9JTY5,C9JTY5_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),124
C9JZY3,C9JZY3_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),168
C9K0A2,C9K0A2_HUMAN,unreviewed,Poly(rC)-binding protein 4 (Fragment),PCBP4,Homo sapiens (Human),46
F8WC71,F8WC71_HUMAN,unreviewed,Poly(rC)-binding protein 4,PCBP4,Homo sapiens (Human),57
P57723,PCBP4_HUMAN,reviewed,Poly(rC)-binding protein 4 (Alpha-CP4),PCBP4,Homo sapiens (Human),403
P61964,WDR5_HUMAN,reviewed,WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein),WDR5 BIG3,Homo sapiens (Human),334
V9GYQ5,V9GYQ5_HUMAN,unreviewed,WD repeat-containing protein 5 (Fragment),WDR5,Homo sapiens (Human),56
V9GZ59,V9GZ59_HUMAN,unreviewed,WD repeat-containing protein 5 (Fragment),WDR5,Homo sapiens (Human),96
H7BYE2,H7BYE2_HUMAN,unreviewed,Gem-associated protein 8 (Fragment),GEMIN8,Homo sapiens (Human),177
Q9NWZ8,GEMI8_HUMAN,reviewed,Gem-associated protein 8 (Gemin-8) (Protein FAM51A1),GEMIN8 FAM51A1,Homo sapiens (Human),242
E5RHX1,E5RHX1_HUMAN,unreviewed,Ran-binding protein 17 (Fragment),RANBP17,Homo sapiens (Human),38
H0YAS2,H0YAS2_HUMAN,unreviewed,Ran-binding protein 17 (Fragment),RANBP17,Homo sapiens (Human),47
